Rating user,Rating Problem,# da tentativa,Novo Rating User
500,1000,1,490
500,1000,4,495
500,3000,5,499
500,500,1,450
600,1100,1,590
600,3000,5,595
600,1200,10,599
700,3300,5,699
700,4500,10,699
700,4400,4,699
700,4600,4,699
800,1300,1,780
800,500,6,780
900,1800,6,897
900,4000,4,899
1000,1000,1,950
1000,1200,3,970
1000,2600,6,999
1000,1700,2,980
1100,4800,4,1099
1200,1000,2,1170
1200,3600,10,1199
1300,3700,6,1299
1300,4400,6,1299
1300,3400,6,1299
1300,3800,1,1290
1400,2600,10,1399
1500,4300,7,1499
1500,4200,1,1490
1500,1200,9,1490
1500,4100,7,1490
1600,3700,8,1599
1800,3200,9,1799
1900,2400,3,1870
1900,4500,7,1899
1900,800,7,1890
1900,100,4,1600
1900,2000,6,1890
2200,1500,8,2180
2200,4600,7,2199
2300,3000,8,2299
2300,3400,1,2250
2300,2800,5,2297
2300,2900,7,2299
2300,900,5,2200
2400,3700,10,2399
2400,3000,9,2399
2400,1100,4,2300
2400,4400,2,2370
2500,3700,7,2499
2600,700,1,2100
2600,2700,2,2560
2600,4400,9,2599
2600,2400,3,2580
2700,4100,5,2699
2700,1000,1,2200
2700,4600,4,2699
2700,1400,8,2699
2700,900,8,2690
2800,2200,7,2795
2800,2900,5,2790
2900,2700,5,2890
2900,200,9,2890
2900,3300,5,2895
2900,1300,7,2895
3100,900,8,3075
3100,400,1,2500
3200,3300,6,3190
3200,1000,4,3050
3300,4500,6,3299
3300,4900,10,3299
3400,300,3,3000
3400,4600,2,3300
3400,4100,6,3390
3400,4200,2,3380
3400,1700,1,3100
3400,4700,10,3399
3500,300,9,3470
3600,3500,9,3590
3600,4700,3,3580
3700,900,10,3699
3700,5000,10,3699
3800,3800,4,3780
3800,400,8,3770
3800,3400,4,3780
3900,2200,6,3850
3900,3200,1,3800
3900,3900,8,3895
3900,4300,4,3875
4000,1100,2,3800
4100,2400,8,4080
4100,4800,9,4099
4100,1800,1,3600
4100,1100,8,4080
4200,900,7,4180
4200,200,8,4180
4400,1600,3,4300
4400,4700,10,4399
4600,1100,7,4585
4800,3000,9,4790
4800,4500,6,4790
4800,400,1,4200
4800,1900,9,4795
4900,1700,4,4800
5000,3900,9,4990
